  b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
a
0;-1;48;49;39;39;37;28;39;28;27;48;48;27;37;28;49;27;49;37;37;49;27;49;28;37;27;48;48;27;28;39;28;37;39;39;49;48;
1;36;48;40;39;28;38;40;44;35;42;44;46;29;33;40;27;41;-1;34;34;-1;41;27;40;33;29;46;44;42;35;44;40;38;28;39;40;48;
2;50;36;30;40;42;35;44;34;31;43;40;30;46;44;45;40;28;39;31;31;39;28;40;45;44;46;30;40;43;31;34;44;35;42;40;30;36;
3;40;36;34;38;42;48;32;43;28;49;41;36;-1;37;30;47;36;35;32;32;35;36;47;30;37;-1;36;41;49;28;43;32;48;42;38;34;36;
4;40;36;34;38;42;48;32;43;28;49;41;36;-1;37;30;47;36;35;32;32;35;36;47;30;37;-1;36;41;49;28;43;32;48;42;38;34;36;
5;26;45;48;32;41;36;46;45;36;46;32;31;36;42;40;33;37;30;34;34;30;37;33;40;42;36;31;32;46;36;45;46;36;41;32;48;45;
6;26;31;33;41;45;34;36;32;40;36;45;32;37;36;46;30;46;48;42;42;48;46;30;46;36;37;32;45;36;40;32;36;34;45;41;33;31;
7;36;44;-1;44;39;33;40;28;40;41;46;48;42;34;35;40;29;27;38;38;27;29;40;35;34;42;48;46;41;40;28;40;33;39;44;-1;44;
8;26;31;33;41;45;34;36;32;40;36;45;32;37;36;46;30;46;48;42;42;48;46;30;46;36;37;32;45;36;40;32;36;34;45;41;33;31;
9;36;46;27;28;44;34;35;39;40;29;48;44;41;38;40;-1;42;40;33;33;40;42;-1;40;38;41;44;48;29;40;39;35;34;44;28;27;46;
10;36;48;40;39;28;38;40;44;35;42;44;46;29;33;40;27;41;-1;34;34;-1;41;27;40;33;29;46;44;42;35;44;40;38;28;39;40;48;
11;40;36;47;42;43;32;28;38;30;-1;36;41;36;48;32;35;49;34;37;37;34;49;35;32;48;36;41;36;-1;30;38;28;32;43;42;47;36;
12;36;46;27;28;44;34;35;39;40;29;48;44;41;38;40;-1;42;40;33;33;40;42;-1;40;38;41;44;48;29;40;39;35;34;44;28;27;46;
13;26;45;48;32;41;36;46;45;36;46;32;31;36;42;40;33;37;30;34;34;30;37;33;40;42;36;31;32;46;36;45;46;36;41;32;48;45;
14;50;40;39;34;40;44;45;42;44;28;30;36;43;31;31;30;46;40;35;35;40;46;30;31;31;43;36;30;28;44;42;45;44;40;34;39;40;
15;50;36;30;40;42;35;44;34;31;43;40;30;46;44;45;40;28;39;31;31;39;28;40;45;44;46;30;40;43;31;34;44;35;42;40;30;36;
16;36;46;27;28;44;34;35;39;40;29;48;44;41;38;40;-1;42;40;33;33;40;42;-1;40;38;41;44;48;29;40;39;35;34;44;28;27;46;
17;26;32;30;45;32;42;40;41;46;37;31;45;46;34;36;48;36;33;36;36;33;36;48;36;34;46;45;31;37;46;41;40;42;32;45;30;32;
18;50;30;40;42;34;31;31;40;45;46;36;40;28;35;44;39;43;30;44;44;30;43;39;44;35;28;40;36;46;45;40;31;31;34;42;40;30;
19;26;45;48;32;41;36;46;45;36;46;32;31;36;42;40;33;37;30;34;34;30;37;33;40;42;36;31;32;46;36;45;46;36;41;32;48;45;
20;50;36;30;40;42;35;44;34;31;43;40;30;46;44;45;40;28;39;31;31;39;28;40;45;44;46;30;40;43;31;34;44;35;42;40;30;36;
21;40;41;35;43;38;37;30;42;32;36;36;36;49;32;28;34;-1;47;48;48;47;-1;34;28;32;49;36;36;36;32;42;30;37;38;43;35;41;
22;26;32;30;45;32;42;40;41;46;37;31;45;46;34;36;48;36;33;36;36;33;36;48;36;34;46;45;31;37;46;41;40;42;32;45;30;32;
23;26;31;33;41;45;34;36;32;40;36;45;32;37;36;46;30;46;48;42;42;48;46;30;46;36;37;32;45;36;40;32;36;34;45;41;33;31;
24;50;30;40;42;34;31;31;40;45;46;36;40;28;35;44;39;43;30;44;44;30;43;39;44;35;28;40;36;46;45;40;31;31;34;42;40;30;
25;40;41;35;43;38;37;30;42;32;36;36;36;49;32;28;34;-1;47;48;48;47;-1;34;28;32;49;36;36;36;32;42;30;37;38;43;35;41;
26;36;48;40;39;28;38;40;44;35;42;44;46;29;33;40;27;41;-1;34;34;-1;41;27;40;33;29;46;44;42;35;44;40;38;28;39;40;48;
27;40;36;47;42;43;32;28;38;30;-1;36;41;36;48;32;35;49;34;37;37;34;49;35;32;48;36;41;36;-1;30;38;28;32;43;42;47;36;
28;40;41;35;43;38;37;30;42;32;36;36;36;49;32;28;34;-1;47;48;48;47;-1;34;28;32;49;36;36;36;32;42;30;37;38;43;35;41;
29;50;40;39;34;40;44;45;42;44;28;30;36;43;31;31;30;46;40;35;35;40;46;30;31;31;43;36;30;28;44;42;45;44;40;34;39;40;
30;40;36;34;38;42;48;32;43;28;49;41;36;-1;37;30;47;36;35;32;32;35;36;47;30;37;-1;36;41;49;28;43;32;48;42;38;34;36;
31;50;40;39;34;40;44;45;42;44;28;30;36;43;31;31;30;46;40;35;35;40;46;30;31;31;43;36;30;28;44;42;45;44;40;34;39;40;
32;50;30;40;42;34;31;31;40;45;46;36;40;28;35;44;39;43;30;44;44;30;43;39;44;35;28;40;36;46;45;40;31;31;34;42;40;30;
33;36;44;-1;44;39;33;40;28;40;41;46;48;42;34;35;40;29;27;38;38;27;29;40;35;34;42;48;46;41;40;28;40;33;39;44;-1;44;
