  b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46
a
0;-1;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;
1;48;60;56;54;59;42;52;51;49;35;46;58;41;50;36;48;40;48;45;51;41;40;42;48;48;54;56;55;45;51;48;56;48;60;46;55;38;50;61;47;45;44;54;37;42;40;36;
2;48;50;55;48;51;42;46;48;36;59;44;56;40;58;60;61;45;45;49;40;55;54;48;42;54;48;42;41;56;47;51;51;35;36;38;56;40;52;37;60;48;50;54;45;48;41;46;
3;48;48;46;59;40;61;49;54;54;41;51;36;40;60;54;41;50;51;48;44;58;45;40;48;48;56;51;38;52;48;45;46;55;42;36;56;60;45;55;42;42;47;35;56;37;50;48;
4;48;52;41;45;48;48;38;54;60;51;50;51;54;56;50;37;56;49;36;41;56;48;61;42;54;35;48;40;55;60;47;40;59;46;40;42;45;46;45;36;42;58;48;48;51;55;44;
5;48;57;56;49;39;-1;56;44;53;54;44;50;60;40;55;42;52;39;60;58;45;45;50;54;42;46;51;51;38;36;57;44;54;41;56;36;46;52;42;43;52;40;-1;57;47;40;39;
6;48;45;38;51;54;37;36;48;54;40;47;46;45;36;48;55;52;48;54;50;56;56;41;61;35;55;40;40;46;42;48;44;41;48;60;51;50;49;56;42;48;60;59;42;45;58;51;
7;48;48;48;56;46;51;59;38;40;52;61;48;49;45;54;46;54;55;41;42;51;36;36;56;40;60;60;45;54;55;41;42;50;42;51;47;48;35;44;56;58;37;45;50;40;48;48;
8;48;46;40;49;54;51;40;54;50;48;58;40;48;51;52;45;55;36;60;55;42;35;37;48;48;59;61;54;41;36;60;41;51;44;45;48;56;38;48;46;42;56;45;42;47;56;50;
9;48;51;36;40;45;55;54;56;35;40;48;48;50;42;59;58;45;54;48;47;36;52;50;41;55;46;44;60;49;48;42;51;38;37;54;46;48;48;56;61;40;42;41;51;56;60;45;
10;48;52;51;39;44;47;56;42;55;39;40;44;45;50;57;42;38;60;53;40;36;46;42;-1;-1;54;50;60;56;43;36;58;54;39;46;51;52;56;57;41;54;40;49;52;57;45;44;
11;48;51;44;56;55;40;45;57;38;53;36;42;-1;50;56;36;54;46;52;57;54;49;57;44;52;39;47;42;39;44;50;42;60;40;46;-1;54;60;43;58;39;51;56;41;40;52;45;
