  b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78
a
0;-1;84;63;97;93;93;67;67;84;93;84;93;76;63;76;76;63;76;84;93;63;84;84;93;97;63;93;76;97;67;97;93;93;76;97;97;63;97;84;67;93;76;63;97;63;63;84;67;67;63;93;63;84;67;97;63;67;76;76;97;67;76;84;97;84;84;97;84;67;76;67;76;93;93;67;67;63;97;76;
1;80;86;64;84;88;80;97;72;86;85;76;92;94;84;79;92;93;88;88;69;77;91;75;90;80;90;81;90;-1;70;66;71;66;90;86;75;81;83;84;72;88;76;77;79;85;74;70;94;89;94;90;-1;70;79;70;80;70;85;69;83;91;72;72;67;68;81;76;66;68;84;75;74;88;63;80;72;76;96;74;
2;80;75;85;76;85;71;79;72;88;88;72;80;90;94;74;79;81;69;86;90;74;66;76;66;70;76;69;76;67;97;-1;90;88;92;83;83;64;80;70;68;92;90;80;96;77;77;68;72;70;-1;63;93;84;91;84;90;94;84;94;86;70;74;91;79;81;86;66;70;80;88;72;72;88;81;89;75;84;75;85;
3;80;81;88;64;88;80;95;90;92;92;73;79;76;76;84;82;89;74;94;93;65;80;96;96;84;85;72;73;90;81;78;78;69;72;88;69;84;78;77;70;90;83;82;76;91;72;88;91;82;82;79;70;87;88;75;76;64;64;80;95;67;66;86;71;78;76;84;84;81;87;68;68;70;65;80;72;96;72;79;
4;80;76;77;66;88;90;91;75;86;92;91;71;76;-1;72;74;64;94;75;66;77;70;72;88;84;84;90;90;79;79;67;63;88;79;80;86;85;70;68;80;80;92;90;75;74;80;81;72;97;93;81;81;70;70;76;76;72;88;90;83;94;85;66;96;86;88;-1;84;89;69;68;74;85;69;70;72;94;83;84;
5;80;68;94;86;69;88;68;79;84;90;86;88;85;77;90;94;76;72;70;71;93;86;81;90;75;77;80;84;70;72;80;85;63;69;79;-1;84;96;72;94;66;88;64;76;-1;81;91;97;75;80;88;90;76;80;83;85;70;79;74;67;89;90;88;84;66;70;83;75;72;74;70;76;81;92;72;91;74;66;92;
6;80;96;91;84;92;78;88;72;94;90;86;80;73;82;68;84;84;80;81;96;72;84;73;69;75;96;93;83;71;95;90;79;70;82;78;95;88;84;88;81;79;72;76;72;65;82;78;90;81;70;65;89;77;67;64;85;91;87;76;88;64;79;80;76;76;92;78;87;80;74;70;66;88;72;82;68;76;69;64;
7;80;81;88;64;88;80;95;90;92;92;73;79;76;76;84;82;89;74;94;93;65;80;96;96;84;85;72;73;90;81;78;78;69;72;88;69;84;78;77;70;90;83;82;76;91;72;88;91;82;82;79;70;87;88;75;76;64;64;80;95;67;66;86;71;78;76;84;84;81;87;68;68;70;65;80;72;96;72;79;
8;80;72;74;-1;92;63;70;72;75;80;66;90;90;93;74;72;85;90;76;88;80;84;91;88;76;94;66;92;96;91;79;81;85;74;70;83;77;84;81;89;71;79;76;83;77;90;86;75;79;81;69;64;68;94;66;84;72;69;76;80;72;84;70;75;88;86;67;70;70;94;80;85;88;90;97;68;-1;86;88;
9;80;84;76;75;63;66;75;70;66;81;68;90;72;77;69;88;80;79;70;92;94;86;70;80;79;64;88;74;83;72;86;88;71;84;-1;76;90;67;75;91;69;85;93;70;84;-1;76;89;72;74;88;77;86;72;96;81;80;90;74;66;68;90;81;80;72;91;83;88;70;92;79;94;90;85;94;97;85;84;76;
10;80;81;-1;83;90;85;80;91;70;66;88;88;84;80;76;90;84;74;68;90;81;75;86;63;83;74;71;88;84;68;70;88;81;94;96;67;94;75;91;72;88;69;85;66;93;64;66;79;72;90;92;76;72;89;86;77;97;74;85;79;70;92;86;76;70;84;80;76;72;72;94;90;69;80;75;70;77;-1;79;
11;80;91;77;67;80;81;94;68;76;71;70;63;92;81;85;74;77;76;72;88;90;70;66;85;66;-1;88;79;75;70;96;69;88;72;84;80;74;76;86;70;90;74;84;86;80;76;88;72;91;64;90;85;81;72;-1;94;75;94;90;70;72;88;84;83;86;75;79;68;97;90;89;84;92;66;79;80;93;83;69;
12;80;73;65;78;90;79;67;68;81;79;80;78;83;70;66;68;88;76;96;69;82;87;86;70;64;76;96;72;76;88;71;65;88;84;84;88;91;75;78;80;80;82;85;69;72;76;76;72;95;89;72;84;88;64;84;96;90;74;73;78;91;64;84;72;92;94;90;77;82;80;81;79;92;93;81;70;82;95;87;
13;80;76;77;66;88;90;91;75;86;92;91;71;76;-1;72;74;64;94;75;66;77;70;72;88;84;84;90;90;79;79;67;63;88;79;80;86;85;70;68;80;80;92;90;75;74;80;81;72;97;93;81;81;70;70;76;76;72;88;90;83;94;85;66;96;86;88;-1;84;89;69;68;74;85;69;70;72;94;83;84;
14;80;96;91;84;92;78;88;72;94;90;86;80;73;82;68;84;84;80;81;96;72;84;73;69;75;96;93;83;71;95;90;79;70;82;78;95;88;84;88;81;79;72;76;72;65;82;78;90;81;70;65;89;77;67;64;85;91;87;76;88;64;79;80;76;76;92;78;87;80;74;70;66;88;72;82;68;76;69;64;
15;80;78;82;88;93;88;81;88;77;96;92;70;64;82;73;76;96;66;88;78;89;81;76;79;69;65;80;87;75;70;84;92;65;80;76;90;76;72;86;91;69;74;88;84;70;84;80;95;68;76;90;85;73;80;95;91;81;84;79;71;82;72;94;64;84;87;78;96;90;68;64;83;72;79;72;67;72;78;82;
