  b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
a
0;-1;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;
1;68;58;48;48;54;51;64;60;61;60;48;63;40;63;57;52;58;48;43;55;42;56;50;56;42;55;65;65;55;42;56;50;56;42;55;43;48;58;52;57;63;40;63;48;60;61;60;64;51;54;48;48;58;
2;50;59;46;64;63;42;48;52;51;57;59;45;66;60;56;54;44;45;46;50;52;48;67;60;64;-1;55;55;-1;64;60;67;48;52;50;46;45;44;54;56;60;66;45;59;57;51;52;48;42;63;64;46;59;
3;50;63;51;66;44;52;64;-1;48;45;60;57;42;59;64;52;45;54;50;60;55;67;46;56;59;48;46;46;48;59;56;46;67;55;60;50;54;45;52;64;59;42;57;60;45;48;-1;64;52;44;66;51;63;
4;40;66;45;48;43;44;51;53;50;52;68;47;53;57;56;65;60;58;45;48;66;54;50;60;60;52;60;60;52;60;60;50;54;66;48;45;58;60;65;56;57;53;47;68;52;50;53;51;44;43;48;45;66;
5;58;62;63;49;58;64;62;56;54;44;60;52;45;41;48;66;48;42;60;44;63;56;-1;49;57;53;51;51;53;57;49;-1;56;63;44;60;42;48;66;48;41;45;52;60;44;54;56;62;64;58;49;63;62;
6;40;43;50;53;60;66;60;52;54;58;57;52;44;66;48;53;47;65;48;60;60;50;45;56;68;51;45;45;51;68;56;45;50;60;60;48;65;47;53;48;66;44;52;57;58;54;52;60;66;60;53;50;43;
7;40;52;45;60;58;50;66;68;48;52;60;53;45;47;66;60;65;51;48;53;54;60;56;44;43;57;50;50;57;43;44;56;60;54;53;48;51;65;60;66;47;45;53;60;52;48;68;66;50;58;60;45;52;
8;58;56;48;56;53;60;52;58;49;60;42;57;-1;66;54;62;62;41;63;51;44;45;64;63;44;48;49;49;48;44;63;64;45;44;51;63;41;62;62;54;66;-1;57;42;60;49;58;52;60;53;56;48;56;
9;40;60;54;44;47;60;68;51;50;65;66;58;66;43;53;52;52;53;60;56;45;45;48;48;57;60;50;50;60;57;48;48;45;45;56;60;53;52;52;53;43;66;58;66;65;50;51;68;60;47;44;54;60;
10;68;63;50;42;60;48;63;42;43;60;54;52;65;58;51;64;48;55;57;48;61;55;56;40;58;48;56;56;48;58;40;56;55;61;48;57;55;48;64;51;58;65;52;54;60;43;42;63;48;60;42;50;63;
11;40;60;44;48;68;56;65;52;66;43;52;66;60;51;45;47;57;60;50;54;48;60;45;50;53;58;53;53;58;53;50;45;60;48;54;50;60;57;47;45;51;60;66;52;43;66;52;65;56;68;48;44;60;
12;58;53;49;-1;62;44;44;48;45;41;66;60;60;56;56;58;57;62;51;63;49;64;63;54;42;52;48;48;52;42;54;63;64;49;63;51;62;57;58;56;56;60;60;66;41;45;48;44;44;62;-1;49;53;
13;68;55;48;50;64;55;60;58;40;63;52;48;43;60;56;54;42;58;65;48;56;51;42;61;48;63;57;57;63;48;61;42;51;56;48;65;58;42;54;56;60;43;48;52;63;40;58;60;55;64;50;48;55;
14;58;60;63;49;41;49;56;42;51;48;62;58;48;57;44;44;62;52;56;-1;45;63;54;60;53;66;64;64;66;53;60;54;63;45;-1;56;52;62;44;44;57;48;58;62;48;51;42;56;49;41;49;63;60;
15;68;60;43;65;48;61;58;48;55;55;58;60;48;63;42;42;52;64;48;40;56;56;57;51;54;63;50;50;63;54;51;57;56;56;40;48;64;52;42;42;63;48;60;58;55;55;48;58;61;48;65;43;60;
16;68;42;51;55;48;57;52;60;42;54;55;58;56;64;43;63;63;58;61;56;48;65;48;50;60;48;40;40;48;60;50;48;65;48;56;61;58;63;63;43;64;56;58;55;54;42;60;52;57;48;55;51;42;
17;40;53;56;54;52;45;47;43;48;68;58;60;50;65;50;66;51;57;66;60;48;53;44;45;52;60;60;60;60;52;45;44;53;48;60;66;57;51;66;50;65;50;60;58;68;48;43;47;45;52;54;56;53;
18;58;62;45;60;57;49;42;52;64;62;56;41;44;53;-1;48;60;58;63;54;48;63;51;56;66;44;49;49;44;66;56;51;63;48;54;63;58;60;48;-1;53;44;41;56;62;64;52;42;49;57;60;45;62;
19;50;60;55;56;59;66;-1;54;46;45;64;44;64;59;60;45;63;57;67;46;42;51;48;50;48;52;52;52;52;48;50;48;51;42;46;67;57;63;45;60;59;64;44;64;45;46;54;-1;66;59;56;55;60;
20;50;45;67;52;57;46;60;64;46;52;63;54;55;44;42;48;45;-1;56;64;51;50;60;66;59;59;48;48;59;59;66;60;50;51;64;56;-1;45;48;42;44;55;54;63;52;46;64;60;46;57;52;67;45;
21;58;41;51;48;62;45;53;66;63;52;57;48;49;60;49;42;58;44;-1;60;64;54;56;44;62;56;63;63;56;62;44;56;54;64;60;-1;44;58;42;49;60;49;48;57;52;63;66;53;45;62;48;51;41;
22;58;44;60;51;42;54;62;60;44;53;48;56;63;52;63;57;66;62;49;45;56;49;48;64;58;41;-1;-1;41;58;64;48;49;56;45;49;62;66;57;63;52;63;56;48;53;44;60;62;54;42;51;60;44;
23;58;66;49;54;56;-1;48;62;48;57;44;62;56;42;63;41;53;60;64;63;60;49;45;51;52;58;44;44;58;52;51;45;49;60;63;64;60;53;41;63;42;56;62;44;57;48;62;48;-1;56;54;49;66;
