  b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88
a
0;-1;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;
1;80;100;96;80;105;96;98;80;108;101;96;87;82;82;92;102;94;75;96;91;84;76;87;93;106;88;76;81;81;87;86;100;104;78;78;96;86;95;73;105;84;84;97;95;84;84;95;97;84;84;105;73;95;86;96;78;78;104;100;86;87;81;81;76;88;106;93;87;76;84;91;96;75;94;102;92;82;82;87;96;101;108;80;98;96;105;80;96;100;
2;80;94;104;84;88;101;80;93;105;78;96;96;92;86;95;81;87;96;76;95;86;84;105;82;81;84;87;82;80;91;96;73;87;98;96;76;97;100;102;100;75;78;84;106;108;108;106;84;78;75;100;102;100;97;76;96;98;87;73;96;91;80;82;87;84;81;82;105;84;86;95;76;96;87;81;95;86;92;96;96;78;105;93;80;101;88;84;104;94;
3;106;84;100;81;102;89;90;74;78;90;85;102;84;90;86;81;100;89;103;88;84;-1;83;84;91;83;76;72;105;100;103;87;88;104;108;90;88;105;96;76;82;99;79;90;92;92;90;79;99;82;76;96;105;88;90;108;104;88;87;103;100;105;72;76;83;91;84;83;-1;84;88;103;89;100;81;86;90;84;102;85;90;78;74;90;89;102;81;100;84;
4;80;87;87;78;84;78;93;82;100;96;76;104;95;96;106;82;96;101;84;100;97;86;88;92;80;108;91;86;84;95;76;102;105;80;96;87;84;73;81;94;96;98;75;81;105;105;81;75;98;96;94;81;73;84;87;96;80;105;102;76;95;84;86;91;108;80;92;88;86;97;100;84;101;96;82;106;96;95;104;76;96;100;82;93;78;84;78;87;87;
5;100;78;94;96;93;88;80;86;80;85;99;98;84;105;76;83;99;98;100;84;102;96;104;93;75;89;102;96;92;84;84;96;84;75;74;79;82;104;94;107;87;72;100;93;85;85;93;100;72;87;107;94;104;82;79;74;75;84;96;84;84;92;96;102;89;75;93;104;96;102;84;100;98;99;83;76;105;84;98;99;85;80;86;80;88;93;96;94;78;
6;106;100;88;99;83;90;74;84;76;108;103;100;86;103;90;72;102;89;-1;105;88;84;102;84;105;92;100;90;81;88;90;96;83;90;85;76;79;87;81;84;89;104;82;91;78;78;91;82;104;89;84;81;87;79;76;85;90;83;96;90;88;81;90;100;92;105;84;102;84;88;105;-1;89;102;72;90;103;86;100;103;108;76;84;74;90;83;99;88;100;
7;106;83;92;84;84;-1;90;91;100;84;79;83;81;88;99;76;102;103;82;72;89;89;76;105;90;100;96;100;74;81;105;103;78;86;88;87;90;90;90;88;85;84;108;104;102;102;104;108;84;85;88;90;90;90;87;88;86;78;103;105;81;74;100;96;100;90;105;76;89;89;72;82;103;102;76;99;88;81;83;79;84;100;91;90;-1;84;84;92;83;
8;80;96;105;98;108;96;82;92;94;96;84;87;106;76;81;86;104;78;86;73;84;97;84;95;84;105;95;96;78;100;87;81;88;93;76;91;75;102;82;87;101;80;96;80;100;100;80;96;80;101;87;82;102;75;91;76;93;88;81;87;100;78;96;95;105;84;95;84;97;84;73;86;78;104;86;81;76;106;87;84;96;94;92;82;96;108;98;105;96;
9;100;102;87;84;85;98;96;94;100;94;104;100;96;86;105;75;82;99;93;75;85;89;88;83;79;74;76;80;102;93;93;96;98;104;84;84;80;92;72;96;78;84;107;84;99;99;84;107;84;78;96;72;92;80;84;84;104;98;96;93;93;102;80;76;74;79;83;88;89;85;75;93;99;82;75;105;86;96;100;104;94;100;94;96;98;85;84;87;102;
10;100;99;84;72;89;85;86;93;107;74;100;94;76;84;93;96;98;88;96;104;82;102;93;84;92;85;84;105;96;84;79;94;104;80;99;102;100;96;83;78;98;75;87;75;80;80;75;87;75;98;78;83;96;100;102;99;80;104;94;79;84;96;105;84;85;92;84;93;102;82;104;96;88;98;96;93;84;76;94;100;74;107;93;86;85;89;72;84;99;
11;80;75;78;73;76;105;82;86;97;88;108;101;76;95;87;82;96;87;105;78;94;100;96;96;95;84;80;92;100;84;106;80;96;81;84;81;87;98;93;84;104;102;96;91;86;86;91;96;102;104;84;93;98;87;81;84;81;96;80;106;84;100;92;80;84;95;96;96;100;94;78;105;87;96;82;87;95;76;101;108;88;97;86;82;105;76;73;78;75;
