  b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58
a
0;-1;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;
1;60;63;60;55;48;63;51;66;56;64;50;60;64;67;50;52;73;58;66;72;54;69;49;50;65;48;62;56;51;48;72;69;64;58;72;55;70;71;51;66;48;54;62;47;68;70;53;56;60;70;56;64;54;69;57;72;65;60;57;
2;60;-1;64;72;66;55;66;68;72;74;57;53;54;60;51;57;64;64;68;64;68;54;75;59;63;61;60;50;74;71;49;46;70;60;59;57;61;45;66;52;56;52;56;56;63;69;60;66;67;63;46;48;52;54;65;54;48;56;-1;
3;60;48;56;73;54;66;64;60;50;60;50;66;63;72;72;69;53;64;71;55;51;69;72;68;50;55;63;62;64;58;62;56;58;57;65;70;52;48;51;69;65;49;56;67;51;48;48;57;54;70;60;70;60;56;54;66;47;64;72;
4;60;49;68;66;48;64;50;70;57;69;47;51;51;56;67;55;60;54;62;63;56;70;64;72;65;72;54;48;62;60;60;58;72;66;48;55;48;56;50;64;57;58;66;60;65;53;64;69;69;73;51;63;50;70;56;72;54;52;71;
5;60;51;65;48;69;49;56;72;56;73;68;67;54;50;51;66;55;48;64;63;48;60;62;57;50;64;54;60;58;70;50;62;60;66;56;70;63;58;60;72;57;56;72;65;54;69;70;66;53;52;47;64;48;64;71;51;72;55;69;
6;60;61;46;64;52;68;70;56;59;67;51;52;55;49;54;54;60;54;45;72;74;54;64;63;57;57;-1;60;48;64;56;72;60;-1;63;63;57;56;66;46;48;75;66;60;66;66;71;65;68;69;53;61;64;50;52;68;56;74;59;
7;60;48;56;64;73;54;65;51;64;70;48;68;60;54;65;63;63;64;67;58;69;48;48;58;71;54;70;70;69;60;60;51;50;50;66;49;62;72;72;51;62;53;56;57;57;55;66;60;52;72;50;56;69;55;66;47;56;64;72;
8;60;75;63;68;71;48;51;61;-1;54;56;66;74;46;60;57;56;68;56;55;50;63;54;59;48;64;52;66;60;67;53;60;54;68;56;72;61;66;57;70;65;64;52;64;63;60;74;46;54;64;66;-1;59;69;72;49;52;57;45;
9;60;55;60;53;49;60;58;64;68;54;72;69;66;62;66;69;48;63;48;73;64;56;55;51;50;70;48;63;70;64;56;50;57;72;50;70;69;65;64;56;47;72;57;72;51;54;58;54;51;48;66;52;56;62;60;71;67;60;65;
