   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
a
16;72;82;66;-80;68;60;78;85;-88;66;75;71;66;68;-64;79;80;-72;77;78;63;-80;84;73;84;57;-75;67;74;-84;62;66;82;87;63;76;68;81;57;62;78;82;-60;70;77;69;87;60;71;60;-64;81;66;67;-72;64;65;-80;76;78;73;69;78;-56;59;66;84;76;-64;78;62;
17;-72;72;73;66;-72;77;79;66;70;-76;74;86;77;64;59;74;88;60;;80;84;81;64;75;63;75;61;72;75;60;58;57;-60;-64;-72;62;82;-72;-80;-84;87;86;84;69;72;83;69;81;69;80;63;60;64;;84;56;70;85;80;67;58;70;-68;74;78;65;67;-72;78;71;72;
18;72;79;62;69;73;68;78;63;60;59;-88;73;57;67;-64;66;67;-60;-80;82;80;66;87;69;60;63;76;-64;66;66;84;62;-72;78;68;74;70;76;66;-72;82;60;78;78;-80;68;81;84;75;57;78;64;62;-64;-84;77;78;-80;77;87;71;-56;85;84;81;66;76;71;-75;82;65;
19;72;68;-88;66;80;63;84;74;82;68;78;77;71;66;65;73;59;-64;82;60;66;68;-72;-80;57;-84;87;81;82;69;60;67;-80;69;66;78;66;78;75;-64;77;84;-75;62;63;57;-60;87;-64;-72;76;78;84;62;-80;85;71;79;78;73;67;66;76;62;70;60;81;64;78;-56;76;
20;72;78;66;60;77;76;67;76;68;60;69;-64;-72;73;-56;82;82;82;75;-64;78;78;74;-64;81;78;87;79;64;84;59;87;66;-60;71;81;63;73;-84;78;57;85;60;80;65;57;66;63;-80;70;66;66;-80;69;62;62;62;-88;71;-72;-80;-75;84;76;68;77;68;67;84;78;66;
21;-72;60;80;88;83;66;-60;70;80;69;79;62;78;64;60;-76;-80;-72;75;84;77;86;72;75;85;74;72;73;57;58;;81;77;-72;74;81;63;70;-72;67;63;;86;87;71;72;70;59;69;72;58;67;60;69;-72;-64;-68;84;80;66;82;65;75;64;74;-84;78;61;56;64;84;
22;-72;70;88;63;-60;87;69;70;78;72;-76;60;75;-64;86;80;85;65;73;74;;61;-72;84;63;80;67;66;86;80;72;62;69;60;67;-72;-72;77;84;75;82;72;64;58;78;77;64;81;60;-72;83;;70;71;79;59;64;58;-80;69;84;-68;72;66;74;75;57;-84;81;56;74;
23;-72;80;-80;85;77;63;69;-68;74;60;69;-72;74;-72;;72;84;-84;80;79;75;72;74;86;58;80;78;88;62;84;73;81;87;67;66;61;83;78;77;57;63;71;60;82;56;66;64;86;58;70;72;69;65;64;-60;60;72;;-72;70;-72;75;84;70;-76;75;81;67;59;-64;64;
24;72;63;78;73;66;-84;60;78;77;57;76;85;67;60;76;80;68;65;60;57;69;66;-64;63;-72;-80;73;70;-56;66;82;66;82;-80;82;69;75;62;-64;62;78;62;78;-88;74;71;-64;-72;81;-80;78;-75;87;84;79;76;64;68;84;77;59;68;87;67;66;84;-60;78;71;66;81;
25;72;57;60;70;75;71;79;67;63;76;57;-56;62;-64;76;66;78;85;69;66;-64;-72;64;84;73;67;66;82;62;81;68;-60;66;60;-64;66;78;-80;84;78;-84;76;63;82;62;78;77;71;60;80;-72;-80;78;-75;59;66;78;68;-80;82;-88;87;68;81;77;65;73;69;74;84;87;
26;-72;73;-72;79;70;74;77;59;88;;84;64;63;61;75;58;-60;-72;82;-80;87;84;72;69;69;63;64;84;70;80;58;-68;78;67;78;72;72;66;77;66;-76;86;64;74;60;80;81;75;75;72;60;57;-64;62;-72;-84;86;69;83;81;80;60;;56;85;67;70;74;65;-72;71;
27;72;80;82;71;59;66;57;82;-80;66;77;63;-64;84;71;67;70;78;68;63;68;66;-64;68;-84;69;69;78;84;57;-72;62;79;66;60;-56;-88;84;78;65;82;-72;87;60;66;75;-75;-60;76;-80;78;76;81;76;66;74;77;73;60;-80;81;67;78;-64;62;87;78;85;73;62;64;
28;-72;74;58;83;58;-72;80;-72;80;78;70;75;-80;;78;77;72;84;85;72;88;57;69;70;77;84;62;63;65;-76;63;-84;84;71;64;75;69;80;73;60;-60;81;-68;79;81;82;60;67;74;75;87;56;72;59;60;72;67;66;;-64;69;74;66;64;-72;64;-72;86;61;86;70;
29;72;76;69;82;78;78;59;81;57;57;66;62;-80;77;66;77;60;-56;-64;81;84;71;78;65;70;62;-72;68;78;60;68;73;75;-64;64;-60;-84;80;-80;69;71;76;84;66;76;-72;82;74;79;66;73;60;63;-80;-88;84;67;78;67;-64;82;78;87;87;63;85;66;66;62;-75;68;
30;72;78;57;-80;60;84;70;78;75;-84;71;76;79;63;67;82;63;62;76;78;57;77;-56;71;62;60;-64;80;76;-72;66;-80;78;78;85;-75;69;59;66;66;-64;78;-72;68;64;-80;84;82;73;-88;67;87;66;68;82;81;62;77;81;65;68;73;-60;69;66;74;60;84;-64;87;66;
31;-72;-80;77;69;74;69;74;;84;80;75;74;58;78;62;73;87;66;83;77;63;60;56;64;58;72;65;-60;72;-72;-72;84;-76;81;59;64;80;85;63;-68;60;-72;-72;72;-84;79;72;86;80;88;84;81;67;61;78;57;71;82;66;86;70;69;64;60;;70;75;70;75;67;-64;
32;72;-80;78;66;66;79;77;-80;84;67;62;87;68;62;-60;69;71;81;-72;-80;73;-56;84;78;82;68;85;75;68;80;78;84;57;74;66;63;81;78;70;87;60;66;64;76;69;59;76;62;66;60;-88;71;-64;-72;63;73;-75;-84;82;76;57;82;77;60;-64;67;65;78;78;66;-64;
33;-72;;82;84;72;80;-72;56;73;84;-80;70;66;81;-84;85;-72;64;87;80;77;75;86;67;79;63;84;58;66;75;69;70;70;61;72;-68;-76;72;83;74;74;75;69;78;86;60;81;65;77;58;69;67;64;57;80;-72;59;-60;63;78;74;-64;60;71;88;-72;64;72;60;62;;
34;-72;66;79;-76;77;74;;81;63;72;58;-64;82;-84;84;83;69;60;84;85;58;74;67;71;72;-72;66;74;64;88;80;64;75;75;57;-72;-72;87;69;69;80;64;56;80;70;78;-72;72;73;77;70;86;59;60;84;75;61;60;-60;62;-80;86;72;81;63;;70;67;-68;65;78;
35;-72;-60;78;75;85;;63;86;69;-72;82;78;60;70;64;84;74;81;70;87;72;-64;65;61;80;80;60;77;72;77;-72;71;58;-68;75;56;88;69;-76;86;73;-72;67;72;67;84;64;64;83;79;-80;72;57;74;63;70;60;80;74;84;66;62;-72;75;58;81;;59;69;66;-84;
36;72;69;78;59;57;66;-80;66;60;-64;84;78;70;-72;78;68;75;64;-84;-80;71;84;76;82;79;73;63;-88;67;67;82;87;63;66;62;68;76;82;78;81;57;62;77;77;-56;81;71;65;62;68;60;73;-64;-60;80;69;76;66;-72;74;66;60;-80;84;78;-64;78;87;85;66;-75;
37;72;66;68;78;-88;75;66;-64;80;77;63;84;84;-75;74;62;82;63;68;57;78;-60;77;87;71;-64;66;-72;65;76;73;78;59;84;-64;62;82;-80;60;85;66;71;68;79;-72;78;-80;73;57;67;-84;66;87;76;81;62;82;70;69;60;60;81;67;64;-80;78;69;-56;66;76;78;
38;72;66;84;68;71;73;82;68;57;81;60;69;66;-64;-75;57;-64;78;-80;79;67;62;81;-56;68;80;74;78;66;59;60;-72;-84;82;67;66;78;77;62;-60;-72;84;85;78;66;70;64;76;-88;63;82;77;65;-64;66;-80;87;69;-80;78;75;84;63;87;76;62;71;73;76;60;78;
39;-72;87;-76;80;;80;72;-72;82;77;83;59;84;75;74;-60;72;86;74;63;80;67;75;78;-72;79;69;74;56;63;78;-64;73;84;86;60;84;58;60;71;-80;66;81;88;70;75;65;-72;66;69;77;64;81;70;58;72;-84;70;69;60;85;61;67;62;-72;72;64;;64;-68;57;
40;72;60;67;60;-72;82;75;78;81;79;59;-60;63;78;60;57;-80;66;62;-88;-80;76;68;78;78;77;76;69;73;82;-64;74;78;64;87;71;73;57;80;66;70;-80;62;71;-75;68;67;66;66;76;68;-64;-56;82;78;-64;87;84;66;81;-84;85;65;63;66;69;62;-72;84;77;84;
41;-72;78;85;63;69;82;60;64;74;70;72;65;80;60;72;-72;58;75;88;-76;73;67;67;64;83;-80;57;63;60;74;66;-72;58;;69;-84;-60;75;;86;-72;78;70;84;81;87;-64;61;80;77;77;71;-68;56;69;86;-72;72;84;64;79;72;74;70;80;84;62;75;81;59;66;
42;-72;88;-60;69;78;-76;75;86;85;73;;-72;63;67;86;72;69;67;-72;84;82;64;78;64;60;83;70;79;64;-80;84;72;74;57;81;74;70;63;87;70;72;60;-64;80;65;74;61;84;80;66;80;62;60;-72;77;75;72;58;77;81;-72;;71;59;58;69;-68;66;75;-84;56;
43;72;75;63;62;78;-64;73;62;66;78;-84;62;60;78;78;-88;77;74;57;71;76;-64;85;-72;67;81;60;-80;76;78;80;-75;68;87;65;84;60;79;57;76;69;64;66;68;-64;84;63;77;-72;59;-80;68;73;87;70;67;-56;66;66;84;82;-60;66;78;82;71;-80;66;82;81;69;
44;-72;63;69;72;75;80;73;61;63;66;72;60;-72;75;64;77;60;;79;58;84;66;57;56;70;-60;70;-76;-64;85;74;-72;80;86;62;67;77;82;58;64;-72;70;59;-80;-68;74;-84;74;88;87;78;60;86;65;;84;67;80;69;-72;84;72;78;81;83;71;64;69;72;75;81;
45;72;57;-64;68;-84;-72;-88;87;76;66;81;78;80;82;84;63;69;62;84;60;-80;74;67;85;82;-80;71;68;69;79;78;66;78;77;78;73;71;66;67;66;78;66;65;75;76;73;-64;62;59;77;70;-64;84;60;82;-75;81;60;62;64;66;63;78;68;57;-56;-72;-60;76;-80;87;
46;-72;85;69;60;74;72;80;72;58;88;73;67;83;57;60;66;58;69;-60;;-72;70;81;-64;80;77;-68;69;-72;84;79;74;80;62;81;66;78;63;82;64;70;65;60;-72;75;-76;67;64;-80;63;74;-72;;-84;75;86;78;84;87;61;77;71;56;86;72;64;72;70;84;75;59;
47;-72;58;58;80;80;70;-80;78;72;85;88;69;77;62;65;63;84;64;69;73;-60;-68;81;60;74;87;72;60;67;;69;66;-72;-72;61;70;74;83;-72;-72;78;75;;77;84;72;57;70;84;63;-76;-84;71;75;80;60;81;79;82;67;75;56;59;72;66;-64;74;64;64;86;86;
48;72;73;60;57;67;80;60;66;-72;70;82;-80;75;62;78;71;81;-75;79;68;59;67;-60;66;63;66;78;76;60;68;57;-64;-80;-56;66;82;62;78;-88;-64;-80;87;76;84;68;66;78;81;78;-84;77;85;76;65;69;63;73;66;82;69;-64;62;74;-72;78;84;64;77;87;84;71;
49;72;-84;76;80;69;-80;82;69;78;71;78;76;59;84;81;66;57;76;57;-72;66;82;62;74;-80;79;77;66;66;73;77;60;60;63;-56;-80;-64;-88;81;84;84;67;71;78;78;67;65;-64;70;82;62;78;-72;87;68;87;78;63;60;85;68;66;73;66;75;62;-64;-75;64;68;-60;
50;72;70;79;76;62;66;69;-72;73;82;68;60;78;78;63;78;60;-80;59;68;-88;81;73;84;57;75;67;57;-64;78;66;64;67;62;-60;-64;-80;-84;82;77;80;78;66;-80;87;77;69;87;60;71;63;-56;76;85;-64;84;66;81;66;66;84;76;62;71;-72;-75;78;82;68;65;74;
51;-72;58;80;-80;72;88;77;65;84;69;-60;81;74;72;67;69;-72;61;74;-72;78;;84;57;84;-76;71;80;81;82;75;59;66;74;64;86;58;80;70;78;85;69;62;63;64;73;-68;60;87;60;;66;-72;70;83;-72;75;77;72;70;63;-84;75;60;79;67;56;72;-64;64;86;
52;-72;79;77;;63;58;82;84;69;84;58;67;72;66;64;80;75;57;-72;69;80;56;70;-72;73;70;59;84;61;-60;-80;72;63;70;-68;78;66;-76;74;81;72;-64;-84;83;60;85;74;71;-72;74;88;64;75;-72;87;69;64;80;78;72;77;86;60;75;60;62;86;81;;67;65;
53;-72;80;83;-60;80;79;78;60;-80;75;77;72;85;72;57;;77;74;63;-72;63;86;71;70;69;58;60;-72;-68;80;82;75;74;78;56;84;60;88;66;70;69;62;64;-76;-72;84;86;75;74;73;58;81;-72;81;70;67;;87;72;59;72;67;69;-64;84;66;65;64;-84;61;64;
54;72;71;57;66;-64;67;68;66;-84;78;-72;66;-88;65;87;75;76;76;66;73;81;-64;78;62;80;59;82;77;84;70;63;-64;69;84;62;60;84;82;60;-75;-80;81;74;60;67;62;85;64;82;66;-80;63;71;78;68;68;69;57;79;-56;78;-72;66;-60;78;76;77;-80;78;87;73;
55;-72;-72;66;87;79;69;-76;69;77;80;74;64;;56;81;80;63;70;72;78;58;-72;-64;72;82;73;-84;77;84;70;83;86;69;59;60;60;84;84;85;75;58;61;74;60;67;-60;71;62;72;-80;-72;86;66;72;74;81;64;63;88;;80;70;64;67;75;-68;75;65;57;78;-72;
56;-72;83;80;78;-80;77;85;57;77;63;63;71;69;60;-68;82;74;56;60;66;69;64;-72;86;74;58;-72;70;;72;72;69;84;65;-84;64;80;-60;79;60;75;72;72;;74;-72;86;70;58;-72;80;75;78;84;88;70;62;-76;84;75;73;81;81;67;87;59;67;-64;66;64;61;
