   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
a
0;;-36;-36;43;-36;39;43;21;-36;39;39;-25;43;-25;21;-28;-36;43;39;21;39;-25;-25;-28;43;21;-25;-28;21;-28;-28;
1;32;;24;41;26;28;-32;36;35;-36;42;-36;27;34;39;33;31;25;30;37;28;22;-28;29;28;-32;36;38;23;40;;
2;32;24;26;-32;35;42;27;39;31;30;28;-28;28;36;23;;;41;28;36;-36;-36;34;33;25;37;22;29;-32;38;40;
3;-32;39;35;24;-40;38;33;22;30;32;30;37;30;27;-40;28;36;-24;37;34;-27;34;32;34;42;31;26;-24;40;29;25;
4;32;26;35;27;31;28;28;23;;28;-36;34;25;22;-32;40;24;-32;42;39;30;-28;36;;41;36;-36;33;37;29;38;
5;32;;24;41;26;28;-32;36;35;-36;42;-36;27;34;39;33;31;25;30;37;28;22;-28;29;28;-32;36;38;23;40;;
6;-32;35;-40;33;30;30;30;-40;36;37;-27;32;42;26;40;25;39;24;38;22;32;37;27;28;-24;34;34;34;31;-24;29;
7;32;26;35;27;31;28;28;23;;28;-36;34;25;22;-32;40;24;-32;42;39;30;-28;36;;41;36;-36;33;37;29;38;
8;32;35;31;28;;-36;25;-32;24;42;30;36;41;-36;37;38;26;27;28;23;28;34;22;40;-32;39;-28;;36;33;29;
9;32;35;31;28;;-36;25;-32;24;42;30;36;41;-36;37;38;26;27;28;23;28;34;22;40;-32;39;-28;;36;33;29;
10;32;24;26;-32;35;42;27;39;31;30;28;-28;28;36;23;;;41;28;36;-36;-36;34;33;25;37;22;29;-32;38;40;
11;-32;30;36;42;39;32;-24;31;35;30;37;26;24;37;34;-24;-40;30;-27;40;38;27;34;29;33;-40;32;25;22;28;34;
12;-32;-40;30;30;36;-27;42;40;39;38;32;27;-24;34;31;29;35;33;30;-40;37;32;26;25;24;22;37;28;34;34;-24;
13;-32;39;35;24;-40;38;33;22;30;32;30;37;30;27;-40;28;36;-24;37;34;-27;34;32;34;42;31;26;-24;40;29;25;
14;32;35;31;28;;-36;25;-32;24;42;30;36;41;-36;37;38;26;27;28;23;28;34;22;40;-32;39;-28;;36;33;29;
15;-32;39;35;24;-40;38;33;22;30;32;30;37;30;27;-40;28;36;-24;37;34;-27;34;32;34;42;31;26;-24;40;29;25;
16;32;31;;25;24;30;41;37;26;28;28;22;-32;-28;36;29;35;28;-36;-32;42;36;-36;38;27;23;34;40;39;;33;
17;-32;36;39;-24;35;37;24;34;-40;-27;38;34;33;32;22;34;30;42;32;31;30;26;37;-24;30;40;27;29;-40;25;28;
18;32;31;;25;24;30;41;37;26;28;28;22;-32;-28;36;29;35;28;-36;-32;42;36;-36;38;27;23;34;40;39;;33;
19;32;24;26;-32;35;42;27;39;31;30;28;-28;28;36;23;;;41;28;36;-36;-36;34;33;25;37;22;29;-32;38;40;
20;32;26;35;27;31;28;28;23;;28;-36;34;25;22;-32;40;24;-32;42;39;30;-28;36;;41;36;-36;33;37;29;38;
21;-32;-40;30;30;36;-27;42;40;39;38;32;27;-24;34;31;29;35;33;30;-40;37;32;26;25;24;22;37;28;34;34;-24;
22;-32;36;39;-24;35;37;24;34;-40;-27;38;34;33;32;22;34;30;42;32;31;30;26;37;-24;30;40;27;29;-40;25;28;
23;-32;36;39;-24;35;37;24;34;-40;-27;38;34;33;32;22;34;30;42;32;31;30;26;37;-24;30;40;27;29;-40;25;28;
24;-32;30;36;42;39;32;-24;31;35;30;37;26;24;37;34;-24;-40;30;-27;40;38;27;34;29;33;-40;32;25;22;28;34;
25;32;;24;41;26;28;-32;36;35;-36;42;-36;27;34;39;33;31;25;30;37;28;22;-28;29;28;-32;36;38;23;40;;
26;-32;35;-40;33;30;30;30;-40;36;37;-27;32;42;26;40;25;39;24;38;22;32;37;27;28;-24;34;34;34;31;-24;29;
27;-32;30;36;42;39;32;-24;31;35;30;37;26;24;37;34;-24;-40;30;-27;40;38;27;34;29;33;-40;32;25;22;28;34;
28;32;31;;25;24;30;41;37;26;28;28;22;-32;-28;36;29;35;28;-36;-32;42;36;-36;38;27;23;34;40;39;;33;
29;-32;-40;30;30;36;-27;42;40;39;38;32;27;-24;34;31;29;35;33;30;-40;37;32;26;25;24;22;37;28;34;34;-24;
30;-32;35;-40;33;30;30;30;-40;36;37;-27;32;42;26;40;25;39;24;38;22;32;37;27;28;-24;34;34;34;31;-24;29;
