   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
a
19;-72;69;54;67;-60;70;52;58;54;76;66;69;62;56;56;-48;67;53;66;69;64;64;;-60;74;-56;67;75;51;57;52;52;57;51;75;67;-56;74;-60;;64;64;69;66;53;67;-48;56;56;62;69;66;76;54;58;52;70;-60;67;54;69;
20;-52;70;57;50;67;60;68;-54;57;55;55;49;57;58;58;70;72;68;;72;-64;-76;66;55;48;71;-68;73;60;62;-64;-64;62;60;73;-68;71;48;55;66;-76;-64;72;;68;72;70;58;58;57;49;55;55;57;-54;68;60;67;50;57;70;
21;-50;62;-64;-64;61;52;61;60;64;54;72;74;-72;63;54;76;-63;77;65;59;49;56;62;56;-68;69;-54;73;58;52;-52;-52;52;58;73;-54;69;-68;56;62;56;49;59;65;77;-63;76;54;63;-72;74;72;54;64;60;61;52;61;-64;-64;62;
22;-52;55;;73;71;72;-54;57;49;-64;62;55;58;60;67;58;66;-64;-76;57;50;68;70;48;60;72;55;70;57;68;-68;-68;68;57;70;55;72;60;48;70;68;50;57;-76;-64;66;58;67;60;58;55;62;-64;49;57;-54;72;71;73;;55;
23;74;68;48;60;-72;64;61;62;62;-56;70;70;-72;63;47;68;-60;55;61;52;66;72;59;75;-60;70;-52;50;51;63;65;65;63;51;50;-52;70;-60;75;59;72;66;52;61;55;-60;68;47;63;-72;70;70;-56;62;62;61;64;-72;60;48;68;
24;74;-56;61;50;70;-60;62;48;70;66;63;75;47;64;-72;63;59;65;72;-72;60;61;68;-60;51;52;70;68;62;55;-52;-52;55;62;68;70;52;51;-60;68;61;60;-72;72;65;59;63;-72;64;47;75;63;66;70;48;62;-60;70;50;61;-56;
25;-52;70;57;50;67;60;68;-54;57;55;55;49;57;58;58;70;72;68;;72;-64;-76;66;55;48;71;-68;73;60;62;-64;-64;62;60;73;-68;71;48;55;66;-76;-64;72;;68;72;70;58;58;57;49;55;55;57;-54;68;60;67;50;57;70;
26;74;66;72;68;52;59;48;61;75;60;55;-60;-72;-60;70;64;68;-52;61;47;50;62;63;51;62;-72;63;-56;70;65;70;70;65;70;-56;63;-72;62;51;63;62;50;47;61;-52;68;64;70;-60;-72;-60;55;60;75;61;48;59;52;68;72;66;
27;-72;76;66;75;-56;67;58;54;69;64;57;-60;56;70;-60;56;;52;64;62;67;52;-48;74;51;69;66;69;54;53;67;67;53;54;69;66;69;51;74;-48;52;67;62;64;52;;56;-60;70;56;-60;57;64;69;54;58;67;-56;75;66;76;
28;-50;-64;61;54;-72;76;65;56;-68;73;-52;58;69;62;59;-63;63;72;60;61;62;-64;52;64;74;54;77;49;56;-54;52;52;-54;56;49;77;54;74;64;52;-64;62;61;60;72;63;-63;59;62;69;58;-52;73;-68;56;65;76;-72;54;61;-64;
