   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
a
17;68;57;64;65;79;68;80;-54;65;60;73;-64;76;-60;65;67;55;-64;58;55;59;61;82;74;62;-56;78;72;70;66;;72;70;-56;-80;66;64;;70;66;64;58;-80;74;62;54;75;77;81;78;-72;-81;69;71;-76;60;-72;-63;76;71;82;56;68;57;71;72;79;
18;-68;70;-76;78;73;52;77;76;82;-72;71;-72;78;60;-80;-72;66;75;67;-64;72;80;66;66;83;75;66;60;73;60;63;55;56;75;61;80;81;73;76;63;76;70;61;53;70;70;56;64;-72;69;61;70;-64;-56;76;58;-64;65;64;54;60;59;84;63;58;-60;66;
19;68;68;-63;69;77;-80;;70;72;82;-64;76;-54;64;71;71;-76;78;62;66;-80;66;62;55;65;60;79;79;56;-72;-81;75;58;64;72;78;61;55;-64;80;57;57;76;71;81;74;70;-56;70;74;58;-60;65;65;72;82;60;-72;54;64;66;;-56;59;67;73;68;
20;-68;66;70;66;80;53;-60;72;61;58;-64;70;63;67;76;84;75;63;59;66;76;60;-72;73;54;-80;81;64;60;80;65;78;61;-64;-72;75;58;71;56;76;-72;55;-56;82;63;-64;76;60;70;77;73;61;52;60;69;73;66;-72;78;75;64;-76;83;56;70;66;70;
21;68;71;-81;74;66;72;55;-64;65;68;-76;75;70;;82;65;80;72;-63;78;58;-56;-56;-64;60;57;82;69;62;64;70;59;76;79;57;60;77;66;72;74;67;-54;79;76;-72;-80;-80;78;58;73;64;56;71;54;;66;61;-60;68;71;-72;81;64;70;62;55;65;
22;68;71;56;76;60;69;78;75;74;64;;-80;72;70;-56;82;55;55;-60;73;-54;79;57;72;68;71;-72;71;-72;77;62;58;70;66;70;66;78;74;59;-64;65;-64;65;68;64;79;57;82;-63;-76;-81;81;54;-80;66;64;-56;;72;62;61;58;67;76;60;80;65;
23;68;67;;54;82;65;74;70;71;57;55;72;75;56;60;62;66;-76;64;-64;70;77;68;73;-56;64;60;65;58;-56;81;57;-64;78;58;-72;79;55;-80;78;71;76;72;-80;-63;68;59;66;-72;72;-60;70;74;76;80;61;64;-81;79;65;66;62;71;-54;82;;69;
24;68;57;64;65;79;68;80;-54;65;60;73;-64;76;-60;65;67;55;-64;58;55;59;61;82;74;62;-56;78;72;70;66;;72;70;-56;-80;66;64;;70;66;64;58;-80;74;62;54;75;77;81;78;-72;-81;69;71;-76;60;-72;-63;76;71;82;56;68;57;71;72;79;
25;68;64;-60;71;78;79;66;76;69;-56;72;70;-64;-81;62;71;;73;-72;74;57;64;60;78;82;68;66;65;81;61;56;-80;-54;77;59;82;-56;80;75;55;71;70;68;54;58;76;72;79;62;-64;-63;;65;74;55;-72;66;64;-80;67;60;70;57;58;65;-76;72;
26;68;57;64;65;79;68;80;-54;65;60;73;-64;76;-60;65;67;55;-64;58;55;59;61;82;74;62;-56;78;72;70;66;;72;70;-56;-80;66;64;;70;66;64;58;-80;74;62;54;75;77;81;78;-72;-81;69;71;-76;60;-72;-63;76;71;82;56;68;57;71;72;79;
27;-68;83;-72;52;60;-56;71;61;64;-72;63;63;72;70;70;75;69;77;63;76;-72;80;54;66;76;58;80;70;-76;66;61;76;55;58;78;81;60;75;70;-60;66;56;78;60;70;82;56;-64;60;73;59;67;61;66;66;64;73;73;-64;-72;75;65;-80;76;84;-64;53;
