   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72
a
0;;-84;-81;-84;57;91;-81;-64;-84;-84;-64;91;57;67;67;91;-81;-64;-81;-81;67;-64;-64;57;-84;-81;91;-84;91;67;-64;67;57;91;67;57;57;57;57;67;91;57;67;-64;67;91;-84;91;-81;-84;57;-64;-64;67;-81;-81;-64;-81;91;67;67;57;91;-64;-84;-84;-64;-81;91;57;-84;-81;-84;
1;-80;72;64;80;87;60;69;82;84;-84;-72;78;-80;83;74;72;-88;-63;87;66;;65;76;58;70;75;85;77;-76;67;62;59;76;65;80;72;78;78;72;80;65;76;59;62;67;-76;77;85;75;70;58;76;65;;66;87;-63;-88;72;74;83;-80;78;-72;-84;84;82;69;60;87;80;64;72;
2;-80;84;-88;70;76;65;75;-63;-84;72;82;72;58;59;80;85;87;-72;64;69;74;76;62;72;77;66;78;80;60;83;65;67;78;-76;;-80;87;87;-80;;-76;78;67;65;83;60;80;78;66;77;72;62;76;74;69;64;-72;87;85;80;59;58;72;82;72;-84;-63;75;65;76;70;-88;84;
3;-68;-72;81;66;76;70;74;64;86;83;76;90;-72;79;-60;76;65;-64;89;;84;78;71;88;85;68;-68;-76;-72;82;68;73;63;61;61;83;70;70;83;61;61;63;73;68;82;-72;-76;-68;68;85;88;71;78;84;;89;-64;65;76;-60;79;-72;90;76;83;86;64;74;70;76;66;81;-72;
4;-80;-84;87;77;78;-76;66;-72;72;84;-63;85;72;67;;78;64;82;-88;75;80;62;65;-80;80;69;72;70;65;59;76;83;87;60;74;58;76;76;58;74;60;87;83;76;59;65;70;72;69;80;-80;65;62;80;75;-88;82;64;78;;67;72;85;-63;84;72;-72;66;-76;78;77;87;-84;
5;-90;-64;73;88;70;82;-68;75;77;78;77;58;63;68;69;74;64;85;-80;-88;62;81;78;67;75;63;67;-72;78;66;84;88;70;-64;72;80;88;88;80;72;-64;70;88;84;66;78;-72;67;63;75;67;78;81;62;-88;-80;85;64;74;69;68;63;58;77;78;77;75;-68;82;70;88;73;-64;
6;-68;86;65;85;63;61;68;-64;83;-72;64;76;88;73;61;-68;89;76;81;74;-60;71;68;83;-76;;90;66;70;79;78;82;70;-72;84;-72;76;76;-72;84;-72;70;82;78;79;70;66;90;;-76;83;68;71;-60;74;81;76;89;-68;61;73;88;76;64;-72;83;-64;68;61;63;85;65;86;
7;-90;77;64;75;70;-64;63;85;78;-64;75;74;67;88;72;67;-80;77;73;-68;69;78;84;80;-72;-88;58;88;82;68;81;66;88;78;62;63;70;70;63;62;78;88;66;81;68;82;88;58;-88;-72;80;84;78;69;-68;73;77;-80;67;72;88;67;74;75;-64;78;85;63;-64;70;75;64;77;
8;-80;72;64;80;87;60;69;82;84;-84;-72;78;-80;83;74;72;-88;-63;87;66;;65;76;58;70;75;85;77;-76;67;62;59;76;65;80;72;78;78;72;80;65;76;59;62;67;-76;77;85;75;70;58;76;65;;66;87;-63;-88;72;74;83;-80;78;-72;-84;84;82;69;60;87;80;64;72;
9;-80;77;66;84;72;78;-88;62;80;70;76;60;76;74;83;65;69;65;75;64;67;-63;-72;78;-84;87;-76;72;85;;82;80;-80;72;59;87;58;58;87;59;72;-80;80;82;;85;72;-76;87;-84;78;-72;-63;67;64;75;65;69;65;83;74;76;60;76;70;80;62;-88;78;72;84;66;77;
10;-90;77;64;75;70;-64;63;85;78;-64;75;74;67;88;72;67;-80;77;73;-68;69;78;84;80;-72;-88;58;88;82;68;81;66;88;78;62;63;70;70;63;62;78;88;66;81;68;82;88;58;-88;-72;80;84;78;69;-68;73;77;-80;67;72;88;67;74;75;-64;78;85;63;-64;70;75;64;77;
11;58;70;82;73;74;60;79;71;64;67;-84;-81;70;-80;84;68;80;70;60;86;75;73;-76;66;63;76;85;71;78;-60;60;85;81;78;-68;-84;90;90;-84;-68;78;81;85;60;-60;78;71;85;76;63;66;-76;73;75;86;60;70;80;68;84;-80;70;-81;-84;67;64;71;79;60;74;73;82;70;
12;-68;83;89;-76;70;-72;;76;-72;86;-64;-68;83;82;84;90;81;64;65;68;61;68;78;-72;66;74;76;85;61;73;71;79;76;70;-60;88;63;63;88;-60;70;76;79;71;73;61;85;76;74;66;-72;78;68;61;68;65;64;81;90;84;82;83;-68;-64;86;-72;76;;-72;70;-76;89;83;
13;58;63;76;70;66;85;82;-76;71;73;73;78;74;75;-60;60;86;60;79;60;85;71;70;81;64;80;78;67;68;-68;-84;84;-84;-81;-80;90;70;70;90;-80;-81;-84;84;-84;-68;68;67;78;80;64;81;70;71;85;60;79;60;86;60;-60;75;74;78;73;73;71;-76;82;85;66;70;76;63;
14;-90;78;-80;-72;88;78;-88;77;-64;77;85;67;80;66;62;58;73;75;64;63;72;84;81;63;88;-68;74;75;-64;88;78;68;70;82;69;67;70;70;67;69;82;70;68;78;88;-64;75;74;-68;88;63;81;84;72;63;64;75;73;58;62;66;80;67;85;77;-64;77;-88;78;88;-72;-80;78;
15;58;70;82;73;74;60;79;71;64;67;-84;-81;70;-80;84;68;80;70;60;86;75;73;-76;66;63;76;85;71;78;-60;60;85;81;78;-68;-84;90;90;-84;-68;78;81;85;60;-60;78;71;85;76;63;66;-76;73;75;86;60;70;80;68;84;-80;70;-81;-84;67;64;71;79;60;74;73;82;70;
16;-80;84;-88;70;76;65;75;-63;-84;72;82;72;58;59;80;85;87;-72;64;69;74;76;62;72;77;66;78;80;60;83;65;67;78;-76;;-80;87;87;-80;;-76;78;67;65;83;60;80;78;66;77;72;62;76;74;69;64;-72;87;85;80;59;58;72;82;72;-84;-63;75;65;76;70;-88;84;
17;-90;88;-68;78;63;74;-80;81;75;-72;84;-64;88;72;88;78;63;78;-88;64;68;77;75;70;-64;73;82;77;58;69;85;62;67;67;66;70;80;80;70;66;67;67;62;85;69;58;77;82;73;-64;70;75;77;68;64;-88;78;63;78;88;72;88;-64;84;-72;75;81;-80;74;63;78;-68;88;
